Name,Institution,Best_Matched_Name,Best_Matched_Institution,Match_Score,Notes
Mahesh Mulimani,,Mahesh Mulimani,"""University of California, San Diego""",80.0,Medium confidence
Manolo Perez,Imperial,Manolo Perez,Imperial College London,90.32,High confidence
Marcelo Caparotta,UCSD,Marcelo Caparotta,"""University of California, San Diego""",82.93,Medium confidence
Marcus Ghosh,Imperial,Marcus Ghosh,Imperial College London,90.32,High confidence
Maria Gabriela (Gabby) Navas Zuloaga,UCSD,Maria Zuloaga,"""University of California, San Diego""",82.93,Medium confidence
Martin Falk,Chicago,Martin Falk,The University of Chicago,88.75,Medium confidence
Matthew Moreno,Michigan,Matthew Moreno,University of Michigan,90.67,High confidence
Matthew Thorstensen,Toronto,Matthew Thorstensen,University of Toronto,90.0,High confidence
Md Abdul Halim,Toronto,Abdul Halim,University of Toronto,90.0,High confidence
Mehdy Dousty,Toronto,Mehdy Dousty,University of Toronto,90.0,High confidence
Melissa Quinnan,UCSD,Melissa Quinnan,"""University of California, San Diego""",82.93,Medium confidence
Mengyun Wang,Oxford,Mengyun Wang,University of Oxford,89.23,Medium confidence
Micah Bowles,Oxford,Micah Bowles,University of Oxford,89.23,Medium confidence
Michelle Obama,,Michelle Obama,Imperial College London,80.0,Medium confidence
Mikael Mieskolainen,Imperial,Mikael Mieskolainen,Imperial College London,90.32,High confidence
Milan Kloewer,Oxford,Milan Kloewer,University of Oxford,89.23,Medium confidence
Min  Zhang,,Min Zhang,"""University of California, San Diego""",80.0,Medium confidence
Minghao Han,NTU,Minghao Han,Nanyang Technological University (NTU),82.93,Medium confidence
Mohammad Azzouzi,Imperial,Mohammad Azzouzi,Imperial College London,90.32,High confidence
Myungjoon Kim,Cornell,Myungjoon Kim,Cornell University,91.2,High confidence
Nacime Bouziani,Imperial,Nacime Bouziani,Imperial College London,90.32,High confidence
Nanta Sophonrat,Michigan,Nanta Sophonrat,University of Michigan,90.67,High confidence
Nathan Fox,Michigan,Nathan Fox,University of Michigan,90.67,High confidence
Neeraj Lal,UCSD,Neeraj Lal,"""University of California, San Diego""",82.93,Medium confidence
Niklas Klusch,UCSD,Niklas Klusch,"""University of California, San Diego""",82.93,Medium confidence
Oliver Watson,Imperial,Oliver Watson,Imperial College London,90.32,High confidence
Paige Bowling,Michigan,Paige Bowling,University of Michigan,90.67,High confidence
Paterne Gahungu,Imperial,Paterne Gahungu,Imperial College London,90.32,High confidence
Peter Lu,Chicago,Peter Lu,The University of Chicago,88.75,Medium confidence
Phuong Le,UCSD,Phuong Le,"""University of California, San Diego""",82.93,Medium confidence
Pranav Mamidanna,Imperial,Pranav Mamidanna,Imperial College London,90.32,High confidence
Qi Hu,Oxford,Qi Hu,University of Oxford,89.23,Medium confidence
Qingyun Tian,NTU,Qingyun Tian,Nanyang Technological University (NTU),82.93,Medium confidence
Rachel Parkinson,Oxford,Rachel Parkinson,University of Oxford,89.23,Medium confidence
Ralitsa Todorova,Cornell,Ralitsa Todorova,Cornell University,91.2,High confidence
Ramanujan Srinath,Chicago,Ramanujan Srinath,The University of Chicago,88.75,Medium confidence
Richard Creswell,Oxford,Richard Creswell,University of Oxford,89.23,Medium confidence
Ritesh Kumar,Chicago,Ritesh Kumar,The University of Chicago,88.75,Medium confidence
Roy Moyal,Cornell,Roy Moyal,Cornell University,91.2,High confidence
Roya  Moghaddasi Fereidani,,Roya Fereidani,"""University of California, San Diego""",80.0,Medium confidence
Roya  Zhong,,Roya Zhong,"""University of California, San Diego""",80.0,Medium confidence
Rui Ding,Chicago,Rui Ding,The University of Chicago,88.75,Medium confidence
Ryan Leung,,Ryan Leung,University of Toronto,80.0,Medium confidence
Samuel Akingbade,Michigan,Samuel Akingbade,University of Michigan,90.67,High confidence
Samuel Hillman,Imperial,Samuel Hillman,Imperial College London,90.32,High confidence
Samvida Venkatesh,Oxford,Samvida Venkatesh,University of Oxford,89.23,Medium confidence
Sara Veneziale,Imperial,Sara Veneziale,Imperial College London,90.32,High confidence
Saswata Dasgupta,UCSD,Saswata Dasgupta,"""University of California, San Diego""",82.93,Medium confidence
Sebastian Heilpern,Cornell,Sebastian Heilpern,Cornell University,91.2,High confidence
Seth Temple,Michigan,Seth Temple,University of Michigan,90.67,High confidence
Shailaja Seetharaman,Chicago,Shailaja Seetharaman,The University of Chicago,88.75,Medium confidence
Shanshan Liu,,Shanshan Liu,University of Michigan,80.0,Medium confidence
Shichuan Sun,NTU,Shichuan Sun,Nanyang Technological University (NTU),82.93,Medium confidence
Shira Lupkin,Chicago,Shira Lupkin,The University of Chicago,88.75,Medium confidence
Shuangqi Li,Cornell,Shuangqi Li,Cornell University,91.2,High confidence
Shuxiang Cao,Oxford,Shuxiang Cao,University of Oxford,89.23,Medium confidence
Soukayna Mouatadid,Toronto,Soukayna Mouatadid,University of Toronto,90.0,High confidence
Soumi Tribedi,Michigan,Soumi Tribedi,University of Michigan,90.67,High confidence
Soumita Ghosh,Toronto,Soumita Ghosh,University of Toronto,90.0,High confidence
Stephan Ihle,Chicago,Stephan Ihle,The University of Chicago,88.75,Medium confidence
Stephanie Khuu,UCSD,Stephanie Khuu,"""University of California, San Diego""",82.93,Medium confidence
Taina Coleman,UCSD,Taina Coleman,,80.0,Medium confidence
Taniya Kapoor,,Taniya Kapoor,University of Oxford,80.0,Medium confidence
Tao Wang,NUS,Tao Wang,National University of Singapore (NUS),82.93,Medium confidence
Thomas Callister,Chicago,Thomas Callister,The University of Chicago,88.75,Medium confidence
Thomas Monahan,,Thomas Monahan,University of Oxford,80.0,Medium confidence
Tiancheng Cao,NTU,Tiancheng Cao,Nanyang Technological University (NTU),82.93,Medium confidence
Tianning Tang,Oxford,Tianning Tang,University of Oxford,89.23,Medium confidence
Tianyu Wang,Cornell,Tianyu Wang,Cornell University,91.2,High confidence
Tianyuan Lu,Toronto,Tianyuan Lu,University of Toronto,90.0,High confidence
Tina Dang,,Tina Dang,Nanyang Technological University (NTU),80.0,Medium confidence
Tsige Atilaw,Michigan,Tsige Atilaw,University of Michigan,90.67,High confidence
Tsz Wai Ko,UCSD,Tsz Ko,"""University of California, San Diego""",82.93,Medium confidence
Valence Habyarimana,Michigan,Valence Habyarimana,University of Michigan,90.67,High confidence
Veronika Juraskova,Oxford,Veronika Juraskova,University of Oxford,89.23,Medium confidence
Verrah Otiende,Michigan,Verrah Otiende,University of Michigan,90.67,High confidence
Vikram Thapar,Cornell,Vikram Thapar,Cornell University,91.2,High confidence
Vital Fernandez,Michigan,Vital Fernandez,University of Michigan,90.67,High confidence
Wei Wei Chen,Cornell,Wei Chen,Cornell University,91.2,High confidence
Weichi Yao,Michigan,Weichi Yao,University of Michigan,90.67,High confidence
William (Jake) Wright,UCSD,William Wright,"""University of California, San Diego""",82.93,Medium confidence
William Denault,Chicago,William Denault,The University of Chicago,88.75,Medium confidence
William Weaver,Michigan,William Weaver,University of Michigan,90.67,High confidence
Xiancheng Yu,Imperial,Xiancheng Yu,Imperial College London,90.32,High confidence
Xiaofeng Liu,Michigan,Xiaofeng Liu,University of Michigan,90.67,High confidence
Xiaoyu Zhao,UCSD,Xiaoyu Zhao,"""University of California, San Diego""",82.93,Medium confidence
Xin Sun,Cornell,Xin Sun,Cornell University,91.2,High confidence
Xin Wang,Cornell,Xin Wang,Cornell University,91.2,High confidence
Xin Wei,Michigan,Xin Wei,University of Michigan,90.67,High confidence
Xin Xie,Michigan,Xin Xie,University of Michigan,90.67,High confidence
Xinwei Wang,Imperial,Xinwei Wang,Imperial College London,90.32,High confidence
Xinyu Liu,,Xinyu Liu,University of Michigan,80.0,Medium confidence
Xu Chang,NUS,Xu Chang,National University of Singapore (NUS),82.93,Medium confidence
Xu Chen,,Xu Chen,University of Toronto,80.0,Medium confidence
Xueyu Tian,Cornell,Xueyu Tian,Cornell University,91.2,High confidence
Yan Ying Tan,Michigan,Yan Tan,University of Michigan,90.67,High confidence
Yang Long,NTU,Yang Long,Nanyang Technological University (NTU),82.93,Medium confidence
Yao Yu,UCSD,Yao Yu,"""University of California, San Diego""",82.93,Medium confidence
Yaonan Gu,NUS,Yaonan Gu,National University of Singapore (NUS),82.93,Medium confidence
Yasir Latif,Cornell,Yasir Latif,Cornell University,91.2,High confidence
Yasmin  Kassim,,Yasmin Kassim,"""University of California, San Diego""",80.0,Medium confidence
Yihang Wang,Chicago,Yihang Wang,The University of Chicago,88.75,Medium confidence
Yiluan Song,Michigan,Yiluan Song,University of Michigan,90.67,High confidence
Yilun Guan,Toronto,Yilun Guan,University of Toronto,90.0,High confidence
Yiqing Chen,NUS,Yiqing Chen,National University of Singapore (NUS),82.93,Medium confidence
Yohai Magen,UCSD,Yohai Magen,"""University of California, San Diego""",82.93,Medium confidence
Yonas Minalu Emagnu,Michigan,Yonas Emagnu,University of Michigan,90.67,High confidence
Yu Liang,UCSD,Yu Liang,"""University of California, San Diego""",82.93,Medium confidence
Yu Zhou,Cornell,Yu Zhou,Cornell University,91.2,High confidence
Yue (Luna)  Bai,,Yue Bai,"""University of California, San Diego""",80.0,Medium confidence
Yue Zhou,Cornell,Yue Zhou,Cornell University,91.2,High confidence
Yueying Ni,Michigan,Yueying Ni,University of Michigan,90.67,High confidence
Yuheng Li,NUS,Yuheng Li,National University of Singapore (NUS),82.93,Medium confidence
Yutong Wang,Michigan,Yutong Wang,University of Michigan,90.67,High confidence
Yuxiang Zhang,NUS,Yuxiang Zhang,National University of Singapore (NUS),82.93,Medium confidence
Yuxing Zhou,,Yuxing Zhou,University of Oxford,80.0,Medium confidence
Zepeng Ning,NTU,Zepeng Ning,Nanyang Technological University (NTU),82.93,Medium confidence
Zheng Guo,Michigan,Zheng Guo,University of Michigan,90.67,High confidence
Zhenzhu Li,Imperial,Zhenzhu Li,Imperial College London,90.32,High confidence
Zherong Wu,Cornell,Zherong Wu,Cornell University,91.2,High confidence
Zhewei Liu,Toronto,Zhewei Liu,University of Toronto,90.0,High confidence
Zhichen Liu,Michigan,Zhichen Liu,University of Michigan,90.67,High confidence
Zhilong Wang,Cornell,Zhilong Wang,Cornell University,91.2,High confidence
Zhirui Liang,Michigan,Zhirui Liang,University of Michigan,90.67,High confidence
Zhongmou Chao,Cornell,Zhongmou Chao,Cornell University,91.2,High confidence
